Economy,Branch Path,Variable,Scenario,Year,Value,Units,notes,DO_NOT_USE,share_decreased_from
01_AUS,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Current Accounts,2022,266.3825531,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
01_AUS,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Current Accounts,2022,191.50157,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
01_AUS,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Current Accounts,2022,154.1056092,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
01_AUS,Demand\Passenger road\LPVs\HEV large,Fuel Economy,Current Accounts,2022,517.3510363,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Australia.",,
01_AUS,Demand\Passenger road\LPVs\HEV medium,Fuel Economy,Current Accounts,2022,406.850783,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Australia.",,
01_AUS,Demand\Passenger road\LPVs\PHEV small\Electricity,Fuel Economy,Current Accounts,2022,184.494893,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
01_AUS,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Target,2022,266.3825531,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
01_AUS,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Target,2022,191.50157,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
01_AUS,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Target,2022,154.1056092,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
01_AUS,Demand\Passenger road\LPVs\HEV large,Fuel Economy,Target,2022,517.3510363,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Australia.",,
01_AUS,Demand\Passenger road\LPVs\HEV medium,Fuel Economy,Target,2022,406.850783,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Australia.",,
01_AUS,Demand\Passenger road\LPVs\PHEV small\Electricity,Fuel Economy,Target,2022,184.494893,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
02_BD,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Current Accounts,2022,248.7457879,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
02_BD,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Current Accounts,2022,177.2623689,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
02_BD,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Current Accounts,2022,143.9025219,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
02_BD,Demand\Passenger road\LPVs\HEV large,Fuel Economy,Current Accounts,2022,620.3013881,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Brunei Darussalam.",,
02_BD,Demand\Passenger road\LPVs\HEV medium,Fuel Economy,Current Accounts,2022,423.4202922,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Brunei Darussalam.",,
02_BD,Demand\Passenger road\LPVs\PHEV small\Electricity,Fuel Economy,Current Accounts,2022,182.9094955,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
02_BD,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Target,2022,248.7457879,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
02_BD,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Target,2022,177.2623689,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
